Size,IsPolytopal
RotaryManiplex([ 72, 72 ], "(s2^-2*s1*s2^-2)^4*(s1*s2^-1)^2*s1^4*s2^-2*(s2^-2*s1)^2, s1^-2*s2*s1^3*s2^-1*s1*s2^2, s2^2*s1^5*s2^2*s1^-1")#2016#false
RotaryManiplex([ 63, 126 ], "s1^-2*s2^-1*s1^4*s2^3, (s1^-1*s2*s1*s2^-1)^2")#2016#false
RotaryManiplex([ 126, 63 ], "s1^-37*s2^2*s1^-1*s2*s1^-22, (s1^-1*s2*s1*s2^-1)^2, s1^-1*s2*s1*s2^-1*s1^3*s2*s1^-1*s2")#2016#false
RotaryManiplex([ 126, 126 ], "s1*s2^-1*s1^-3*s2*s1*s2^-1")#2016#false
AbstractRotaryPolytope([ 5, 10 ], "(s1*s2^-2*s1*s2^-1)^2, s1^2*s2^2*s1*s2^-1*s1^-1*s2*s1^-2*s2*s1*s2^-1*(s1^-1*s2)^2, (s2^3*s1^-2)^2")#2020#true
AbstractRotaryPolytope([ 5, 10 ], "(s1*s2^-2*s1*s2^-1)^2, s2*s1^-1*s2*s1^2*s2^2*s1^2*s2^-1*s1*s2*s1^-1*s2^-1*s1*s2, (s2^3*s1^-2)^2")#2020#true
AbstractRotaryPolytope([ 10, 5 ], "(s1*s2^-2*s1^2)^2, s1*s2*s1^-1*s2*s1^5*s2^-2*s1^-1*s2*s1^2")#2020#true
AbstractRotaryPolytope([ 10, 5 ], "(s1*s2^-2*s1^2)^2, s2*s1^2*s2^-1*s1^5*s2*s1^-2*s2^-1*s1*s2")#2020#true
AbstractRotaryPolytope([ 22, 22 ], "s1^-3*s2^-1*s1^3*s2*s1^-1*s2^-1*s1*s2, s1*s2^-1*s1^-1*s2*s1*s2^-1*s1^2*s2^2*s1^-1*s2")#2024#true
AbstractRotaryPolytope([ 22, 22 ], "(s2^-1*s1^2*s2^-3)^3*s1^4, s1^-1*s2*s1^6*s2^3*s1^-1, s1*s2^3*s1*s2^-1*s1^-1*s2*s1*s2^-1")#2024#true
AbstractRotaryPolytope([ 22, 22 ], "s1^-3*s2^-1*s1^4*s2*s1^-1*s2^-1*s1*s2*s1^-1, s1*s2^-1*s1^-1*s2*s1^3*s2^-1*s1^-3*s2")#2024#true
AbstractRotaryPolytope([ 22, 22 ], "(s2^-1*s1*s2^-3)^4*s1^2, s1^-1*s2*s1^5*s2^3, s2^2*s1*s2^-2*s1^-1*s2*s1^3*s2*s1^-1")#2024#true
AbstractRotaryPolytope([ 22, 22 ], "s2*s1^-1*s2*s1^3*s2^-1*s1*s2*s1^-1, s2^3*s1^5*s2*s1^-1*s2*s1^2*s2")#2024#true
AbstractRotaryPolytope([ 22, 22 ], "s1*s2*s1^-1*s2*s1^4*s2^-1*s1^-3*s2*s1, s2*s1^2*s2*s1^-1*(s2^-1*s1)^2*s2*s1^-1*s2")#2024#true
AbstractRotaryPolytope([ 22, 22 ], "s1^-1*s2*s1^2*s2^-1*s1^4*s2*s1^-2*s2*s1^-1, s1*s2^-1*s1^-1*s2*s1^2*s2^-1*s1^-2*s2")#2024#true
AbstractRotaryPolytope([ 22, 22 ], "s2*s1^-1*s2*s1^3*s2^-1*s1*s2*s1^-1, s2*s1*s2^-1*s1^4*s2*s1^-3*s2")#2024#true
AbstractRotaryPolytope([ 22, 22 ], "((s2^-1*s1)^2*s2^-2)^3*s1^4, s1^-1*s2^-1*s1*s2^-2*s1^-1*s2*s1^-1*s2^-1*s1*s2*s1^-1, s1^-1*s2*s1^6*s2^2*s1^-1*s2")#2024#true
AbstractRotaryPolytope([ 22, 22 ], "s2^-1*s1^-2*s2*s1^4*s2^-1*s1^-3*s2*s1, s1^-1*s2^-1*s1*s2*s1^-1*s2^-1*s1^2*s2*s1^-2*s2^-1*s1*s2")#2024#true
AbstractRotaryPolytope([ 3, 6 ], "s2^-3*s1*s2^-2*s1^-1*(s2*s1^-1*s2)^2*(s2*s1^-1*s2^2*s1^-1*s2^-3*s1^-1)^2*(s2^2*s1^-1)^4*s2*s1^-1")#2028#true
AbstractRotaryPolytope([ 6, 3 ], "s1^-3*s2*(s1^-1*s2*s1^2*s2^-1*s1^-1)^3*s1^-1*s2*s1^-3*s2^-1*(s1*s2^-1*s1^-2*s2*s1)^2*s1*s2^-1*s1^-2*s2")#2028#true
AbstractRotaryPolytope([ 6, 39 ], "(s1*s2^-2)^2, s1^2*s2^2*s1^2*s2^-1*s1^-2*s2*(s1^2*s2^-1)^3*s1^-2*s2, s2*s1^2*s2*s1^-1*s2^-3*s1^-1*s2^3*(s2*s1^-1*s2^-1*s1)^2*s2")#2028#true
AbstractRotaryPolytope([ 39, 6 ], "s1*s2^-3*s1^-6*(s1^-1*s2*s1*s2^-1)^2*s1^-1*s2*s1, (s1*s2^-1*s1)^2")#2028#true
RotaryManiplex([ 39, 78 ], "(s2^-1*s1^2*s2^-1)^8*s2^-6*s1, s2*s1^4*s2*s1^-2, s2*s1^2*s2^2*s1^-1*s2^-2*s1*s2*s1^-1*s2^-1*s1*s2, s2^3*s1^2*s2^-1*s1^2*s2^2")#2028#false
RotaryManiplex([ 78, 39 ], "s2*s1^-2*s2*s1^3*s2^-1*s1^2*s2*s1^-1, s2^2*s1^-1*s2^2*s1^-14*s2^5*s1^-1*s2^2*s1^-12, s2^2*s1^5*s2^2*s1^-1, s2^3*s1*s2^-2*s1*s2")#2028#false
